CITY_RAW,DISTANCE,REQUEST_STATUS,HUMIDITY,TEMPERATURE,UPDATED_AT,RECORD_ID
ciudad-de-mexico,9.40km,200,18.2,26,19/06/2023 02:43:00,20230619_040203
merida,6.24km,200,52.3,32,19/06/2023 02:44:00,20230619_040203
monterrey,23.90km,200,34.2,34,19/06/2023 02:40:00,20230619_040203
wakanda,,404,,,,20230619_040203
ciudad-de-mexico,9.40km,200,18.2,26,19/06/2023 03:45:00,20230619_050012
merida,6.24km,200,55.4,31,19/06/2023 03:44:00,20230619_050012
monterrey,23.90km,200,32.3,35,19/06/2023 03:40:00,20230619_050012
wakanda,,404,,,,20230619_050012
ciudad-de-mexico,9.40km,200,25.4,24,19/06/2023 04:50:00,20230619_060012
merida,6.24km,200,66.0,29,19/06/2023 04:42:00,20230619_060012
monterrey,23.90km,200,43.4,32,19/06/2023 04:40:00,20230619_060012
wakanda,,404,,,,20230619_060012
ciudad-de-mexico,9.40km,200,25.4,24,19/06/2023 05:45:00,20230619_070012
merida,6.24km,200,70.1,29,19/06/2023 05:43:00,20230619_070012
monterrey,23.90km,200,51.8,30,19/06/2023 05:40:00,20230619_070012
wakanda,,404,,,,20230619_070012
ciudad-de-mexico,9.40km,200,18.8,23,19/06/2023 06:46:00,20230619_080013
merida,6.24km,200,74.3,28,19/06/2023 06:43:00,20230619_080013
monterrey,23.90km,200,51.8,30,19/06/2023 05:40:00,20230619_080013
wakanda,,404,,,,20230619_080013
ciudad-de-mexico,9.40km,200,28.7,22,19/06/2023 07:40:00,20230619_090022
merida,6.24km,200,78.8,27,19/06/2023 07:44:00,20230619_090022
monterrey,23.90km,200,51.8,30,19/06/2023 05:40:00,20230619_090022
wakanda,,404,,,,20230619_090022
ciudad-de-mexico,9.40km,200,32.4,20,19/06/2023 08:52:00,20230619_100012
merida,6.24km,200,83.6,26,19/06/2023 08:44:00,20230619_100012
monterrey,23.90km,200,51.8,30,19/06/2023 05:40:00,20230619_100012
wakanda,,404,,,,20230619_100012
ciudad-de-mexico,9.40km,200,24.3,20,19/06/2023 09:43:00,20230619_110013
merida,6.24km,200,83.6,26,19/06/2023 09:43:00,20230619_110013
monterrey,23.90km,200,51.8,30,19/06/2023 05:40:00,20230619_110013
wakanda,,404,,,,20230619_110013
ciudad-de-mexico,9.40km,200,29.9,19,19/06/2023 10:44:00,20230619_120013
merida,6.24km,200,88.7,25,19/06/2023 10:44:00,20230619_120013
monterrey,23.90km,200,51.8,30,19/06/2023 05:40:00,20230619_120013
wakanda,,404,,,,20230619_120013
ciudad-de-mexico,9.40km,200,32.1,19,19/06/2023 11:50:00,20230619_130010
merida,6.24km,200,88.7,25,19/06/2023 11:43:00,20230619_130010
monterrey,23.90km,200,51.8,30,19/06/2023 05:40:00,20230619_130010
wakanda,,404,,,,20230619_130010
ciudad-de-mexico,9.40km,200,32.1,19,19/06/2023 12:45:00,20230619_140010
merida,6.24km,200,83.7,27,19/06/2023 12:43:00,20230619_140010
monterrey,23.90km,200,69.6,26,19/06/2023 12:40:00,20230619_140010
wakanda,,404,,,,20230619_140010
