CITY_ID,CITY,DISTANCE,HUMIDITY,TEMPERATURE,UPDATED_AT,REQUEST_ID
001,Mexico City,9.40,18.20,26.00,2023-06-19T02:43:00Z,20230619_040203_001
002,Merida,6.24,52.30,32.00,2023-06-19T02:44:00Z,20230619_040203_002
003,Monterrey,23.90,34.20,34.00,2023-06-19T02:40:00Z,20230619_040203_003
001,Mexico City,9.40,18.20,26.00,2023-06-19T03:45:00Z,20230619_050012_001
002,Merida,6.24,55.40,31.00,2023-06-19T03:44:00Z,20230619_050012_002
003,Monterrey,23.90,32.30,35.00,2023-06-19T03:40:00Z,20230619_050012_003
001,Mexico City,9.40,25.40,24.00,2023-06-19T04:50:00Z,20230619_060012_001
002,Merida,6.24,66.00,29.00,2023-06-19T04:42:00Z,20230619_060012_002
003,Monterrey,23.90,43.40,32.00,2023-06-19T04:40:00Z,20230619_060012_003
001,Mexico City,9.40,25.40,24.00,2023-06-19T05:45:00Z,20230619_070012_001
002,Merida,6.24,70.10,29.00,2023-06-19T05:43:00Z,20230619_070012_002
003,Monterrey,23.90,51.80,30.00,2023-06-19T05:40:00Z,20230619_070012_003
001,Mexico City,9.40,18.80,23.00,2023-06-19T06:46:00Z,20230619_080013_001
002,Merida,6.24,74.30,28.00,2023-06-19T06:43:00Z,20230619_080013_002
003,Monterrey,23.90,51.80,30.00,2023-06-19T05:40:00Z,20230619_080013_003
001,Mexico City,9.40,28.70,22.00,2023-06-19T07:40:00Z,20230619_090022_001
002,Merida,6.24,78.80,27.00,2023-06-19T07:44:00Z,20230619_090022_002
003,Monterrey,23.90,51.80,30.00,2023-06-19T05:40:00Z,20230619_090022_003
001,Mexico City,9.40,32.40,20.00,2023-06-19T08:52:00Z,20230619_100012_001
002,Merida,6.24,83.60,26.00,2023-06-19T08:44:00Z,20230619_100012_002
003,Monterrey,23.90,51.80,30.00,2023-06-19T05:40:00Z,20230619_100012_003
001,Mexico City,9.40,24.30,20.00,2023-06-19T09:43:00Z,20230619_110013_001
002,Merida,6.24,83.60,26.00,2023-06-19T09:43:00Z,20230619_110013_002
003,Monterrey,23.90,51.80,30.00,2023-06-19T05:40:00Z,20230619_110013_003
001,Mexico City,9.40,29.90,19.00,2023-06-19T10:44:00Z,20230619_120013_001
002,Merida,6.24,88.70,25.00,2023-06-19T10:44:00Z,20230619_120013_002
003,Monterrey,23.90,51.80,30.00,2023-06-19T05:40:00Z,20230619_120013_003
001,Mexico City,9.40,32.10,19.00,2023-06-19T11:50:00Z,20230619_130010_001
002,Merida,6.24,88.70,25.00,2023-06-19T11:43:00Z,20230619_130010_002
003,Monterrey,23.90,51.80,30.00,2023-06-19T05:40:00Z,20230619_130010_003
001,Mexico City,9.40,32.10,19.00,2023-06-19T12:45:00Z,20230619_140010_001
002,Merida,6.24,83.70,27.00,2023-06-19T12:43:00Z,20230619_140010_002
003,Monterrey,23.90,69.60,26.00,2023-06-19T12:40:00Z,20230619_140010_003
