REQUEST_ID,RECORD_ID,CITY_ID,REQUEST_STATUS
20230619_040203_001,20230619_040203,001,200
20230619_040203_002,20230619_040203,002,200
20230619_040203_003,20230619_040203,003,200
20230619_040203_004,20230619_040203,004,404
20230619_050012_001,20230619_050012,001,200
20230619_050012_002,20230619_050012,002,200
20230619_050012_003,20230619_050012,003,200
20230619_050012_004,20230619_050012,004,404
20230619_060012_001,20230619_060012,001,200
20230619_060012_002,20230619_060012,002,200
20230619_060012_003,20230619_060012,003,200
20230619_060012_004,20230619_060012,004,404
20230619_070012_001,20230619_070012,001,200
20230619_070012_002,20230619_070012,002,200
20230619_070012_003,20230619_070012,003,200
20230619_070012_004,20230619_070012,004,404
20230619_080013_001,20230619_080013,001,200
20230619_080013_002,20230619_080013,002,200
20230619_080013_003,20230619_080013,003,200
20230619_080013_004,20230619_080013,004,404
20230619_090022_001,20230619_090022,001,200
20230619_090022_002,20230619_090022,002,200
20230619_090022_003,20230619_090022,003,200
20230619_090022_004,20230619_090022,004,404
20230619_100012_001,20230619_100012,001,200
20230619_100012_002,20230619_100012,002,200
20230619_100012_003,20230619_100012,003,200
20230619_100012_004,20230619_100012,004,404
20230619_110013_001,20230619_110013,001,200
20230619_110013_002,20230619_110013,002,200
20230619_110013_003,20230619_110013,003,200
20230619_110013_004,20230619_110013,004,404
20230619_120013_001,20230619_120013,001,200
20230619_120013_002,20230619_120013,002,200
20230619_120013_003,20230619_120013,003,200
20230619_120013_004,20230619_120013,004,404
20230619_130010_001,20230619_130010,001,200
20230619_130010_002,20230619_130010,002,200
20230619_130010_003,20230619_130010,003,200
20230619_130010_004,20230619_130010,004,404
20230619_140010_001,20230619_140010,001,200
20230619_140010_002,20230619_140010,002,200
20230619_140010_003,20230619_140010,003,200
20230619_140010_004,20230619_140010,004,404
